1,3282266,1,4
2,3282323,1,3
3,3282376,1,4
4,3282389,1,3
5,3282415,1,3
6,3283204,1,4
7,3283769,1,3
8,3283808,1,3
9,3283286,1,3
10,3283329,1,3
11,3283606,1,3
12,3283340,1,3
13,3283346,1,3
14,3283352,1,3
15,3283353,1,3
16,3283423,1,3
17,3283443,1,3
18,5718,1,3
19,5719,1,3
20,5720,1,3
21,5721,1,3
22,5723,1,3
23,3283450,1,4
24,3283504,1,3
25,4730501,1,3
26,4730502,1,3
27,3283512,1,3
28,3283525,1,3
29,4730503,1,3
30,3282840,1,4
31,3283871,1,4
32,3283235,1,3
33,7022,1,3
34,3282861,1,3
35,3282872,1,3
36,3282899,1,3
37,4340,1,3
38,4341,1,3
39,4343,1,3
40,4353,1,3
41,4354,1,3
42,4351,1,3
43,4358,1,3
44,4359,1,3
45,4360,1,3
46,4361,1,3
47,4362,1,3
48,4363,1,3
49,4364,1,3
50,4365,1,3
51,4366,1,3
52,4368,1,3
53,4369,1,3
54,4370,1,3
55,3280317,1,3
56,3283095,1,4
57,3283104,1,3
58,3283134,1,4
59,3283144,1,4
60,3284374,1,4
61,3280414,1,3
62,3284379,1,3
63,3284144,1,4
64,3284786,1,4
65,3284791,1,3
66,3863,1,3
67,3284749,1,4
68,3284750,1,4
69,3284753,1,3
70,3284455,1,4
71,3284456,1,4
72,3284470,1,3
73,3284549,1,3
74,3284588,1,3
75,8035,1,3
76,8040,1,3
77,8050,1,3
78,8053,1,3
79,8056,1,3
80,8068,1,3
81,8082,1,3
82,8089,1,3
83,8091,1,3
84,3284608,1,3
85,3284642,1,3
86,3284643,1,3
87,8387,1,3
88,3284901,1,3
89,3284910,1,4
90,3284915,1,3
91,3284939,1,3
92,8809,1,3
93,4730504,1,4
94,3284988,1,3
95,3284991,1,3
96,3285118,1,3
97,3285241,1,3
98,3285246,1,4
99,3285298,1,4
100,3285158,1,3
101,3285172,1,3
102,3285177,1,3
103,3285201,1,4
104,3285207,1,3
105,3285350,1,3
106,3285399,1,3
107,3285402,1,3
108,3285529,1,3
109,3285450,1,3
110,3285453,1,3
111,3285569,1,4
112,3285585,1,3
113,3285795,1,4
114,10331,1,3
115,10332,1,3
116,10333,1,3
117,10334,1,3
118,10335,1,3
119,10336,1,3
120,3285696,1,3
121,3285698,1,3
122,3917,1,3
123,3918,1,3
124,3919,1,3
125,3920,1,3
126,3921,1,3
127,3922,1,3
128,3923,1,3
129,3924,1,3
130,3925,1,3
131,3926,1,3
132,3927,1,3
133,3928,1,3
134,3929,1,3
135,3930,1,3
136,3931,1,3
137,3932,1,3
138,3933,1,3
139,3934,1,3
140,3937,1,3
141,3936,1,3
142,3935,1,3
143,3938,1,3
144,3939,1,3
145,3940,1,3
146,3941,1,3
147,3942,1,3
148,3943,1,3
149,3944,1,3
150,3945,1,3
151,3946,1,3
152,3947,1,3
153,3948,1,3
154,3949,1,3
155,3950,1,3
156,3951,1,3
157,3952,1,3
158,3953,1,3
159,3954,1,3
160,3955,1,3
161,3956,1,3
162,3957,1,3
163,3958,1,3
164,3959,1,3
165,3960,1,3
166,3961,1,3
167,3962,1,3
168,3963,1,3
169,3964,1,3
170,3965,1,3
171,3966,1,3
172,3967,1,3
173,3968,1,3
174,3969,1,3
175,3970,1,3
176,3971,1,3
177,3286096,1,4
178,3286207,1,3
179,3285860,1,3
180,3286011,1,3
181,3286016,1,3
182,10439,1,3
183,3286391,1,3
