a,b
25840,3601
9736,9326
17098,24401
8743,18573
45836,20236
5981,11519
59625,9002
6010,36068
14490,2026
16742,7546
44,1347
58366,21094
4537,594
58891,57411
34302,8388
47332,42644
41162,1481
56066,52775
8222,5600
7361,2350
43387,3942
32082,37713
17705,8234
31848,12723
31756,12644
2919,3056
18513,17283
35579,23906
4038,7215
5029,9794
40397,4406
10241,18101
16251,4417
48011,48145
36102,22621
12671,5001
48303,20962
18355,10621
19664,30083
25867,25340
35636,33885
2450,1510
56242,17414
6737,12281
22300,12621
8877,10868
22898,16244
6549,1363
23419,43745
38042,36788
4680,5921
3890,325
25,11238
7675,20851
31575,2210
49822,17317
11858,3583
50359,33068
10728,3291
22887,17213
46251,12467
8444,6579
9185,4095
52994,43034
14482,8544
25733,19786
2796,1261
25742,27609
39111,37517
32918,11049
28572,5217
34795,17844
33226,2170
20852,45000
3831,792
3696,4717
3667,875
23059,48021
28037,16260
9128,11511
12996,13679
49335,37719
15753,1340
33887,397
12194,10595
28900,502
22123,12048
52641,32290
20294,17579
29357,27782
13988,4986
11221,31913
31517,9795
3132,5511
14630,5167
50633,46554
21348,3337
19704,15343
8673,27492
6283,5338
34249,30123
56411,20945
1656,4631
10455,17921
18466,15
1962,1878
45968,5127
1069,172
24920,13608
56272,40863
43678,15587
42082,24247
204,427
23867,17759
1093,15197
16868,11712
697,30
19989,11067
9538,18834
10626,12030
12873,1603
19876,25072
125,10103
29784,24887
9416,5404
15724,39498
10080,8035
53748,18319
52160,44733
1093,1213
4391,12872
56563,20627
10081,17273
9028,4689
1717,132
20193,7464
4787,13155
39795,38135
56782,38836
29056,19304
1710,1079
53392,49151
10944,15411
14017,27118
49271,18536
42414,11686
15955,19791
7389,9964
18337,8540
45725,19832
40906,11075
16574,3195
33459,10367
4188,29835
22214,26388
10062,826
2881,775
16694,20321
55581,20037
13302,12533
35459,3074
8961,33549
16170,8493
47482,37064
35045,23418
8395,7950
25647,5171
13563,191
19780,19156
7466,21632
23085,9602
10316,2368
23182,22771
24068,22184
30760,29963
53074,17336
8277,4606
1536,1072
15580,11745
2554,8423
59621,4477
41354,9801
12802,3687
46687,27403
50784,4795
5255,15738
32405,19835
3741,20340
8966,8106
3279,1387
27071,44216
1855,1154
5463,2945
594,127
979,715
6076,15686
13119,10172
24979,12639
29783,6547
49837,28632
1709,1593
28636,19050
56546,50037
5578,1484
3427,3614
27194,17163
45450,19677
8825,10217
37802,5346
2178,328
38935,29175
22202,11938
57031,15844
31290,22955
10158,5536
1203,1398
3682,3163
6057,2636
80,69
18243,17795
25998,6853
30825,12591
28509,38730
634,35612
7024,30236
1304,78
11378,5872
47024,13622
54845,43906
22391,7706
53299,1472
13667,10202
8999,4919
25149,24293
13089,4639
27706,26028
28102,4787
43477,19252
1039,5474
36429,27032
42539,7678
57135,50804
59602,280
1391,2652
13165,6001
45627,42192
41300,45021
41691,32062
39559,24424
5943,2706
46269,44904
1054,3299
12239,7006
11582,6263
56304,51041
5075,4825
39909,11994
49066,12603
7104,3780
26276,18552
46801,38871
51269,20866
61,103
66,9468
52400,15102
11320,4816
28180,4481
38417,40863
6337,5224
2969,2190
9054,4441
12280,19424
59403,7090
2501,701
48274,23094
28485,27781
60,16
17094,14076
12222,27177
41887,11536
1759,49
16026,14725
25195,2138
11543,15872
8475,19018
45764,16451
50959,20102
48988,5261
41,933
51920,23183
15544,5833
6042,2584
27471,21996
51314,22893
40479,21129
14960,8745
22015,3534
58311,20260
8029,3361
3160,4899
54963,52834
43644,37056
3615,451
11336,7970
22600,21282
48561,27040
17981,1023
43823,35424
35241,9961
28946,12922
9254,5591
26362,2379
31117,13736
51689,7102
21624,16417
8294,6758
15381,5622
44718,44403
49455,20309
28612,7630
12647,29415
33337,20853
341,2855
14595,2949
22703,31835
5882,18968
7798,6178
47248,7019
13621,896
31764,9955
6069,2742
4367,2822
6219,6442
39457,9210
17443,13239
26933,39965
23270,30548
49587,39831
52683,18610
28937,26137
899,654
9070,1334
18897,16997
36070,15329
47939,16468
5853,1131
55602,1703
11536,1525
26147,16614
45526,9149
13633,2378
22477,21877
5097,6759
50616,34057
1764,1542
41441,12808
15892,764
3099,14146
13495,1613
12233,9542
7280,14864
5155,781
4246,15510
32603,20787
4838,3477
18664,8073
39242,31566
3905,4194
15481,7114
5127,31694
32763,276
1647,450
29438,7278
3367,33306
9632,45453
4152,13178
42687,18225
58620,26924
692,561
2167,2099
2109,1489
1721,7729
20805,8049
8466,5432
11716,7876
14480,12317
50440,23647
21924,13754
57948,31598
332,3371
15400,11164
26694,15643
25403,318
32323,1018
1556,1028
40192,36579
57914,1777
52223,50278
1122,412
6990,4208
30217,17992
17231,16629
14747,13817
27757,7963
35736,30137
37069,19676
7862,775
39177,8241
6377,8837
50512,9811
58059,34290
20335,1274
8935,2618
18407,4922
22489,17535
25460,5346
27477,20950
10693,6727
29917,12403
32737,8337
54583,43990
56009,10166
38356,21693
20427,9143
56972,20762
46233,23867
10382,661
36517,32123
35931,14050
44207,35543
9011,33316
41163,6883
301,2256
5474,13750
17379,9331
19907,44134
29306,21843
19921,9732
21886,23654
1468,14866
37833,35425
49061,13899
16240,4712
44157,35491
2969,2792
22000,18008
8919,382
17178,5326
18683,2593
14251,3051
56400,45072
9179,6585
6538,6273
23555,15590
3685,9313
19428,1716
9092,10644
51913,21811
50201,10583
5500,3045
28322,13747
3619,4109
57650,35202
11909,11633
4829,18537
37701,21575
1007,1183
56347,2256
30335,5080
8720,6906
5870,12910
2447,2372
10510,1283
3382,1825
1576,16486
24631,22092
20515,14289
20308,11365
31101,27249
146,205
13170,5741
16185,6494
27012,2696
34284,30810
23951,23495
55293,48045
38774,14748
9288,7216
21891,16612
1399,6840
31640,44520
45481,8705
6458,4897
19275,14661
17418,336
42600,28565
19266,17697
9480,5780
19027,22328
31379,5039
31506,5319
12658,3078
27555,3868
10006,1446
54131,4372
29004,11183
278,56216
49072,46943
11007,2163
54795,10559
49457,32692
15069,18199
50953,4548
19477,16779
47604,44901
34889,13294
3497,11464
35687,14893
32173,27226
20071,594
46556,38819
14659,7742
5669,372
18441,16484
30249,3780
49014,1995
27468,28188
6809,1238
192,5109
41622,18895
1867,1891
34625,7433
8911,2985
7469,4979
31379,3412
43505,36143
7668,15373
8748,6818
12799,11209
8256,13528
17114,48572
48459,28445
23724,42552
12809,2443
45600,4368
5919,17177
35414,20572
6453,20472
664,52
27128,26644
19420,12306
43885,40833
57186,2771
10730,8903
5185,8986
5801,5833
22324,8350
42987,11488
23017,8637
15010,10678
511,3128
14411,8571
3325,1816
24827,19208
135,1558
29,15
1133,11626
55942,20302
37577,27853
811,10474
36185,18928
53825,15477
23059,18938
29584,9283
37847,14760
303,9212
26364,12642
18428,27777
16942,2403
46367,26132
9765,387
39058,6378
1646,1788
48923,46331
2214,2591
3157,2173
5037,2821
9394,1243
50602,36505
3341,7271
6015,9022
57245,30693
14315,6086
91,2909
3628,6178
51281,2344
16264,8119
46201,18099
36878,3143
8086,8517
20411,735
17316,15060
5757,7985
10447,17307
43950,52458
58972,56427
44437,36418
55145,1725
39496,17533
17638,11768
47449,38723
12440,26858
47692,21839
12700,2827
29657,8536
7638,5999
22402,17803
38585,21229
20579,1842
8775,18239
27809,22076
43306,6964
29446,6555
47462,35311
7799,6814
4497,1318
16907,10846
36393,21876
34453,33787
10962,12777
28511,25721
34318,13961
15605,13106
14005,7725
53195,11053
42674,41088
19788,1024
24564,13301
34588,6064
36657,22432
31947,38111
38493,5545
41990,40053
1268,861
5366,4146
53567,41613
11513,2881
19330,5868
11197,10595
56815,2738
4223,1301
45135,11893
45872,39830
35073,33448
27885,12253
280,234
58110,2925
4007,180
43337,26682
58350,6108
24072,9750
11720,1290
52072,33066
3439,711
33914,13328
7101,22908
54631,50310
32799,1957
1173,258
20772,2116
57050,11062
149,1706
56628,53321
320,8233
53002,17526
5126,2223
16920,6442
47419,30295
26991,4052
446,375
53681,12639
2414,699
26955,16833
45147,899
16279,13266
45181,6416
14,10
12985,11371
12389,7434
24402,19449
58961,16135
21998,19300
12589,3556
600,30757
39145,3676
38657,6066
28030,6748
14601,18960
245,50174
24296,5213
10974,208
13361,1612
198,182
54475,12667
27253,9351
8723,3615
11361,950
57517,42626
706,11624
6057,19075
25506,16107
2509,8901
17565,598
5159,9572
3266,22274
26265,10575
18615,685
30312,21935
33528,19487
59644,40612
50346,45639
7337,13013
49107,47633
1678,13799
44573,42474
9424,1014
6050,8704
31975,30611
404,550
1146,17
53111,45915
18802,4286
9668,1761
35695,11663
45746,31693
52546,24604
42915,24298
45473,5989
9116,2255
27976,4488
46764,45924
59501,48937
22721,21931
34139,21763
19360,16727
9576,6114
26148,3624
36799,23504
26793,10583
33247,31757
36702,10622
38037,3687
48931,39089
53135,50712
41842,14009
42483,4166
32437,16694
19277,12829
7540,8787
32307,8589
31131,29355
2782,11833
32083,18186
41198,24055
39114,20617
10815,6465
54418,34304
3400,3939
353,3960
2693,2085
46807,29663
53913,34936
14630,970
14126,8583
28337,18367
45764,7031
41603,19684
1532,307
28495,8977
7651,4972
58409,32084
46048,4942
16841,37930
4912,5952
38488,12024
16199,9087
1216,7583
8083,18457
43850,1402
57651,4712
8835,11727
22552,17096
30513,18931
18346,11883
10956,11291
6469,15947
48507,3957
18133,1538
1487,8778
7599,4385
2989,166
21831,9170
42377,10027
55236,37593
58416,31375
24686,6889
37952,36227
1325,3105
22988,12546
43625,24961
1841,9193
15745,2935
39334,523
26916,1166
43392,34471
31832,4386
3121,3052
45945,36130
49691,42018
4376,37355
2635,1132
38474,34026
26887,18214
26707,1476
2279,569
18757,942
22778,22280
48174,29571
16390,1754
24942,20194
31602,9291
57587,2027
80,652
2355,690
50189,14988
2087,219
58688,54960
4320,2821
13707,2587
18703,3090
21596,12635
34773,12561
2880,1922
11560,5679
54071,45682
5210,4961
38019,13802
37382,47715
54989,11537
8090,3109
40834,35075
9375,990
18807,6648
7410,7892
55434,33122
9498,6991
17274,5620
493,3107
2989,814
5705,5442
33772,30253
36670,2530
19372,18366
11423,227
10289,1360
17069,15520
10742,31998
33311,17898
5531,11126
28225,17334
4959,12389
11591,9671
24599,17193
36181,18718
1339,5066
10907,4497
24374,34857
10525,2317
29419,4123
34896,20608
2787,49
13075,5025
6988,2851
20353,9474
23309,11309
21555,19142
40265,19553
45341,37865
14230,32775
2832,26606
29352,1531
5849,1379
35928,29622
41712,18451
1708,291
46801,31725
3263,476
27896,24137
6499,4163
2366,1774
34124,21280
40381,510
56449,5563
8401,1662
35879,54366
42783,10701
538,1488
57206,47935
30888,826
14835,926
15132,8517
8112,4197
40292,37030
25473,9709
23681,12644
5522,14961
4981,4062
27165,23809
44304,15131
35258,23326
21518,7328
46962,30172
33665,32135
1637,246
37761,19847
10993,18789
23553,11736
3349,602
18874,16451
42433,20049
5307,16497
18529,4201
28654,30708
11132,11111
10438,2415
56135,18242
54717,37329
14715,10970
31441,17536
3469,4975
29401,20998
31391,9647
1457,12820
8905,14384
57145,38939
3719,2283
57062,47054
434,32
47239,25870
48839,10755
52713,5389
2293,833
21092,5188
1818,4195
46,173
8640,8396
45998,21659
29368,21827
34955,20411
6953,25683
10071,8536
3929,2780
26050,7165
1041,8920
52786,42175
50563,49585
25018,18803
2687,6079
1931,12109
17908,624
34044,30981
15727,32227
45841,38045
9196,953
1485,1233
7235,6962
36237,11665
51086,18074
